Cosmetic_ID,Brand,Name,Type
1,Butter,London,Handbag
2,Butter,London,LIPPY
3,Butter,London,Hardwear
4,Butter,London,Horse
5,Butter,London,Kitten
6,Butter,London,Matte
7,Butter,London,Melt
8,Butter,London,Nail
9,Butter,London,Nail
10,Butter,London,Nail
11,Butter,London,Powder
12,Butter,London,Rock
13,Butter,London,Royal
14,Butter,London,Stiletto
15,Bobbi,Brown,Angle
16,Bobbi,Brown,Beach
17,Bobbi,Brown,Beach
18,Bobbi,Brown,Beach
19,Bobbi,Brown,Beach
20,Bobbi,Brown,Blush
21,Bobbi,Brown,Brightening
22,Bobbi,Brown,Brightening
23,Bobbi,Brown,Bronzer
24,Bobbi,Brown,Bronzing
25,Bobbi,Brown,Brush
26,Bobbi,Brown,Buffing
27,Bobbi,Brown,Concealer
28,Bobbi,Brown,Concealer
29,Bobbi,Brown,Conditioning
30,Bobbi,Brown,Cream
31,Bobbi,Brown,Creamy
32,Bobbi,Brown,Creamy
33,Bobbi,Brown,Crystal
34,Bobbi,Brown,Deluxe
35,Bobbi,Brown,Everything
36,Bobbi,Brown,EXTRA
37,Bobbi,Brown,EXTRA
38,Bobbi,Brown,EXTRA
39,Bobbi,Brown,EXTRA
40,Bobbi,Brown,EXTRA
41,Bobbi,Brown,EXTRA
42,Bobbi,Brown,Extreme
43,Bobbi,Brown,Eye
44,Bobbi,Brown,Eye
45,Bobbi,Brown,Eye
46,Bobbi,Brown,Eye
47,Bobbi,Brown,Eye
48,Bobbi,Brown,Eye
49,Bobbi,Brown,Eye
50,Bobbi,Brown,Eyelash
51,Bobbi,Brown,Face
52,Bobbi,Brown,Face
53,Bobbi,Brown,Foundation
54,Bobbi,Brown,Gentle
55,Bobbi,Brown,High
56,Bobbi,Brown,Hydrating
57,Bobbi,Brown,Hydrating
58,Bobbi,Brown,Hydrating
59,Bobbi,Brown,Hydrating
60,Bobbi,Brown,Hydrating
61,Bobbi,Brown,Hydrating
62,Bobbi,Brown,Illuminating
63,Bobbi,Brown,Ink
64,Bobbi,Brown,Instant
